101,there are lots of people in the park.RAW
112,the man is gorgeous.RAW
201,the woman is smiling.RAW
223,the man takes a picture.RAW
301,three peppers are big.RAW
334,the building is like a pyramid.RAW
401,river is under the bridge.RAW
445,The house has windows and doors.RAW
501,the boat sails a big river .RAW
556,The celebrity posed for the picture.RAW
601,there are lots of ariplane.RAW
667,The woman is looking at the man .RAW
701,lena is famous person.RAW
778,the woman is wearing a hat.RAW
801,there are cars and people.RAW
889,airplane fly on the mountain.RAW
901,there are numbers and chinese characters.RAW
998,fence is near trees.RAW
